Document,Phrase,MLVal,RefinedWord,RefinedVal,ManRefWord,ManRefVal
Heart Failure With Mid-range Ejection Fraction.,randomized,0.35587335,short-term,0.45843548,supervised,0.43708503
Heart Failure With Mid-range Ejection Fraction.,controlled,0.25206095,of,0.4703986,supervised,0.39651048
Heart Failure With Mid-range Ejection Fraction.,trials,0.31393725,short-term,0.4483273,data-science,0.40647802
Heart Failure With Mid-range Ejection Fraction.,exist,0.33952302,few,0.54263353,clustering,0.42993432
Heart Failure With Mid-range Ejection Fraction.,randomized-controlled,0.4034369,short-term,0.4853552,supervised,0.4496856
Heart Failure With Mid-range Ejection Fraction.,controlled-trials,0.3558599,object-tracking,0.4862421,object-tracking,0.4862421
Heart Failure With Mid-range Ejection Fraction.,randomized-controlled-trials,0.3943098,object-tracking,0.47047678,object-tracking,0.47047678
Heart Failure With Mid-range Ejection Fraction.,aha,0.24828324,classification-algorithm,0.31225228,classification-algorithm,0.31225228
Heart Failure With Mid-range Ejection Fraction.,american,0.31403136,federated,0.55841243,classification,0.43444416
Heart Failure With Mid-range Ejection Fraction.,college,0.4001669,science,0.5562495,data-science,0.50345683
Heart Failure With Mid-range Ejection Fraction.,ef,0.32227567,function,0.46732792,learning-function,0.37073672
Heart Failure With Mid-range Ejection Fraction.,xxx,0.118691005,confusion-matrix,0.29613543,confusion-matrix,0.29613543
Heart Failure With Mid-range Ejection Fraction.,ef,0.32227567,function,0.46732792,learning-function,0.37073672
Heart Failure With Mid-range Ejection Fraction.,xxx,0.118691005,confusion-matrix,0.29613543,confusion-matrix,0.29613543
Heart Failure With Mid-range Ejection Fraction.,unique,0.3996781,feature,0.6177588,feature-engineering,0.5304749
Heart Failure With Mid-range Ejection Fraction.,phenotype,0.28173286,feature,0.51151407,feature-selection,0.4975547
Heart Failure With Mid-range Ejection Fraction.,altogether,0.34802556,data,0.5542451,clustering,0.3638755
Heart Failure With Mid-range Ejection Fraction.,remains,0.24202663,fully,0.5171005,bagging,0.35608193
Heart Failure With Mid-range Ejection Fraction.,poorly,0.28902727,fully,0.6905947,long-short-term,0.39858708
Heart Failure With Mid-range Ejection Fraction.,understood,0.33540633,fully,0.5863327,stochastic,0.4766314
Heart Failure With Mid-range Ejection Fraction.,poorly-understood,0.36790985,feature,0.49439994,confusion-matrix,0.47433245
Heart Failure With Mid-range Ejection Fraction.,mortality,0.2609817,short-term,0.505676,logistic-regression,0.49414968
Heart Failure With Mid-range Ejection Fraction.,rates,0.24094881,rate,0.8800579,dropout,0.48159522
Heart Failure With Mid-range Ejection Fraction.,among,0.33676732,of,0.57348,clustering,0.49404603
Heart Failure With Mid-range Ejection Fraction.,mortality-rates,0.3457303,rate,0.52726305,logistic-regression,0.5160084
Heart Failure With Mid-range Ejection Fraction.,rates-among,0.2976452,rate,0.45142972,random-forest,0.4267065
Heart Failure With Mid-range Ejection Fraction.,include,0.32050848,of,0.60518813,feature-reduction,0.45980722
Heart Failure With Mid-range Ejection Fraction.,overlap,0.38858992,feature,0.58340186,clustering,0.5132319
Heart Failure With Mid-range Ejection Fraction.,suggest,0.26874092,data,0.5391823,long-short-term,0.40288782
Heart Failure With Mid-range Ejection Fraction.,heterogeneous,0.36404067,feature,0.5641245,hierarchical-clustering,0.5368855
Heart Failure With Mid-range Ejection Fraction.,clinical,0.44080526,data,0.48532635,data-science,0.45343333
Heart Failure With Mid-range Ejection Fraction.,characteristics,0.345204,of,0.5401758,feature-engineering,0.49030614
Heart Failure With Mid-range Ejection Fraction.,clinical-characteristics,0.48064718,feature,0.6024677,component-analysis,0.5396
Heart Failure With Mid-range Ejection Fraction.,american,0.31403136,federated,0.55841243,classification,0.43444416
Heart Failure With Mid-range Ejection Fraction.,heart,0.28300244,rate,0.49867767,batch-normalization,0.3427502
Heart Failure With Mid-range Ejection Fraction.,association,0.32292235,regression,0.5094141,regression,0.5094141
Heart Failure With Mid-range Ejection Fraction.,heart-association,0.4604499,clustering,0.5147429,clustering,0.5147429
Heart Failure With Mid-range Ejection Fraction.,american-heart-association,0.5014194,segmentation-algorithm,0.5262896,segmentation-algorithm,0.5262896
Heart Failure With Mid-range Ejection Fraction.,mineralocorticoid,0.2177006,short-term,0.3448191,long-short-term,0.32826918
Heart Failure With Mid-range Ejection Fraction.,receptor,0.22411162,function,0.41526195,clustering,0.36801085
Heart Failure With Mid-range Ejection Fraction.,antagonists,0.24215083,discriminative,0.39012936,learning-function,0.31474212
Heart Failure With Mid-range Ejection Fraction.,mineralocorticoid-receptor,0.24360989,function,0.35304862,batch-normalization,0.34086508
Heart Failure With Mid-range Ejection Fraction.,receptor-antagonists,0.23002487,discriminative,0.38725716,feed-forward,0.3471454
Heart Failure With Mid-range Ejection Fraction.,mineralocorticoid-receptor-antagonists,0.2412014,short-term,0.36669463,feed-forward,0.34416416
Heart Failure With Mid-range Ejection Fraction.,reduced,0.24137571,reduction,0.7564339,boosting,0.47559226
Heart Failure With Mid-range Ejection Fraction.,ejection,0.30230433,function,0.43955976,gradient,0.35697576
Heart Failure With Mid-range Ejection Fraction.,fraction,0.25137818,component,0.50911963,gradient,0.48876822
Heart Failure With Mid-range Ejection Fraction.,reduced-ejection,0.3536169,data-augmentation,0.49796093,data-augmentation,0.49796093
Heart Failure With Mid-range Ejection Fraction.,ejection-fraction,0.36681443,stochastic-gradient,0.5523829,stochastic-gradient,0.5523829
Heart Failure With Mid-range Ejection Fraction.,preserved,0.28254378,function,0.6360263,short-term-memory,0.44489402
Heart Failure With Mid-range Ejection Fraction.,ejection,0.30230433,function,0.43955976,gradient,0.35697576
Heart Failure With Mid-range Ejection Fraction.,fraction,0.25137818,component,0.50911963,gradient,0.48876822
Heart Failure With Mid-range Ejection Fraction.,preserved-ejection,0.305955,batch-normalization,0.5166229,batch-normalization,0.5166229
Heart Failure With Mid-range Ejection Fraction.,ejection-fraction,0.36681443,stochastic-gradient,0.5523829,stochastic-gradient,0.5523829
Heart Failure With Mid-range Ejection Fraction.,times,0.27272475,one,0.5606727,long-short-term,0.43909302
Heart Failure With Mid-range Ejection Fraction.,resembles,0.24474618,feature,0.5545042,generative,0.38160205
Heart Failure With Mid-range Ejection Fraction.,hfref,0.30238003,dropout,0.33754063,dropout,0.33754063
Heart Failure With Mid-range Ejection Fraction.,angiotensin,0.21236175,matrix,0.35242182,feed-forward,0.31253523
Heart Failure With Mid-range Ejection Fraction.,receptor,0.22411162,function,0.41526195,clustering,0.36801085
Heart Failure With Mid-range Ejection Fraction.,blockers,0.19200467,augmentation,0.36206824,long-short-term,0.31719163
Heart Failure With Mid-range Ejection Fraction.,angiotensin-receptor,0.24978769,matrix,0.3305658,confusion-matrix,0.30484858
Heart Failure With Mid-range Ejection Fraction.,receptor-blockers,0.22819279,short-term,0.3749142,regression,0.3211386
Heart Failure With Mid-range Ejection Fraction.,angiotensin-receptor-blockers,0.217114,short-term,0.34574157,dropout,0.30021757
Heart Failure With Mid-range Ejection Fraction.,range,0.23189357,linear,0.4532097,gradient,0.36315575
Heart Failure With Mid-range Ejection Fraction.,ejection,0.30230433,function,0.43955976,gradient,0.35697576
Heart Failure With Mid-range Ejection Fraction.,fraction,0.25137818,component,0.50911963,gradient,0.48876822
Heart Failure With Mid-range Ejection Fraction.,ejection-fraction,0.36681443,stochastic-gradient,0.5523829,stochastic-gradient,0.5523829
Heart Failure With Mid-range Ejection Fraction.,hfmref,0.30193725,tfidf,0.35980028,tfidf,0.35980028
Heart Failure With Mid-range Ejection Fraction.,patients,0.30007,recurrent,0.5332828,dropout,0.3918751
Heart Failure With Mid-range Ejection Fraction.,represent,0.37514454,feature,0.5787041,generative,0.46606725
Heart Failure With Mid-range Ejection Fraction.,ejection,0.30230433,function,0.43955976,gradient,0.35697576
Heart Failure With Mid-range Ejection Fraction.,fraction,0.25137818,component,0.50911963,gradient,0.48876822
Heart Failure With Mid-range Ejection Fraction.,ejection-fraction,0.36681443,stochastic-gradient,0.5523829,stochastic-gradient,0.5523829
Heart Failure With Mid-range Ejection Fraction.,angiotensin,0.21236175,matrix,0.35242182,feed-forward,0.31253523
Heart Failure With Mid-range Ejection Fraction.,receptor,0.22411162,function,0.41526195,clustering,0.36801085
Heart Failure With Mid-range Ejection Fraction.,angiotensin-receptor,0.24978769,matrix,0.3305658,confusion-matrix,0.30484858
Heart Failure With Mid-range Ejection Fraction.,heart,0.28300244,rate,0.49867767,batch-normalization,0.3427502
Heart Failure With Mid-range Ejection Fraction.,failure,0.32964212,recurrent,0.52057266,confusion-matrix,0.44323406
Heart Failure With Mid-range Ejection Fraction.,heart-failure,0.36450487,long-short-term,0.44014218,long-short-term,0.44014218
Heart Failure With Mid-range Ejection Fraction.,beta,0.16640052,of,0.43937695,long-short-term,0.33801323
Heart Failure With Mid-range Ejection Fraction.,blockers,0.19200467,augmentation,0.36206824,long-short-term,0.31719163
Heart Failure With Mid-range Ejection Fraction.,beta-blockers,0.22262444,dropout,0.38301587,dropout,0.38301587
Heart Failure With Mid-range Ejection Fraction.,ultimately,0.32798043,of,0.6012498,generative,0.48520207
Heart Failure With Mid-range Ejection Fraction.,came,0.30467743,confusion,0.5533096,bagging,0.44769236
Heart Failure With Mid-range Ejection Fraction.,though,0.28958118,few,0.67055815,long-short-term,0.41782194
Heart Failure With Mid-range Ejection Fraction.,hfref,0.30238003,dropout,0.33754063,dropout,0.33754063
Heart Failure With Mid-range Ejection Fraction.,recent,0.35249484,of,0.545993,data-engineering,0.4259707
Heart Failure With Mid-range Ejection Fraction.,findings,0.35685748,data,0.65714294,component-analysis,0.38599753
Heart Failure With Mid-range Ejection Fraction.,potential,0.3558654,of,0.5645705,generative-model,0.46479023
Heart Failure With Mid-range Ejection Fraction.,benefit,0.39640212,short-term,0.5466547,long-short-term,0.48296973
Heart Failure With Mid-range Ejection Fraction.,others,0.3625402,one,0.56551903,generative,0.4840395
Heart Failure With Mid-range Ejection Fraction.,still,0.32258964,fully,0.6496037,long-short-term,0.43228805
Heart Failure With Mid-range Ejection Fraction.,neprilysin,0.32175615,matrix,0.42883646,graphics-processing,0.36731273
Heart Failure With Mid-range Ejection Fraction.,inhibitors,0.25381407,cascade,0.4157439,feed-forward,0.3175553
Heart Failure With Mid-range Ejection Fraction.,hfmref,0.30193725,tfidf,0.35980028,tfidf,0.35980028
Heart Failure With Mid-range Ejection Fraction.,population,0.2958798,selection,0.5071889,clustering,0.47966808
Heart Failure With Mid-range Ejection Fraction.,hfmref,0.30193725,tfidf,0.35980028,tfidf,0.35980028
Heart Failure With Mid-range Ejection Fraction.,gray,0.32850122,deep,0.4598344,convolutional,0.45331883
Heart Failure With Mid-range Ejection Fraction.,zone,0.227958,layer,0.5408096,gradient,0.5057796
Heart Failure With Mid-range Ejection Fraction.,gray-zone,0.42488545,segmentation-algorithm,0.555791,segmentation-algorithm,0.555791
Heart Failure With Mid-range Ejection Fraction.,future,0.42505926,data-engineering,0.5647982,data-engineering,0.5647982
Heart Failure With Mid-range Ejection Fraction.,research,0.45694843,science,0.7194936,data-science,0.70924157
Heart Failure With Mid-range Ejection Fraction.,future-research,0.49550766,data-science,0.66124153,data-science,0.66124153
Heart Failure With Mid-range Ejection Fraction.,complex,0.27214053,components,0.5436033,component-analysis,0.4161712
Heart Failure With Mid-range Ejection Fraction.,disorder,0.28393638,dropout,0.44668275,dropout,0.44668275
Heart Failure With Mid-range Ejection Fraction.,classification,0.5994266,classification,1.0,classification,1.0
Heart Failure With Mid-range Ejection Fraction.,created,0.44611198,feature-engineering,0.5674809,feature-engineering,0.5674809
Heart Failure With Mid-range Ejection Fraction.,better,0.4230538,of,0.5337099,feature-reduction,0.47485045
Heart Failure With Mid-range Ejection Fraction.,elucidate,0.32682708,of,0.44897896,feature-engineering,0.4259497
Heart Failure With Mid-range Ejection Fraction.,better-elucidate,0.38998413,dimensionality-reduction,0.5170221,dimensionality-reduction,0.5170221
Heart Failure With Mid-range Ejection Fraction.,others,0.3625402,one,0.56551903,generative,0.4840395
Heart Failure With Mid-range Ejection Fraction.,hfpef,0.33180216,dropout,0.33254394,dropout,0.33254394
Heart Failure With Mid-range Ejection Fraction.,hfpef,0.33180216,dropout,0.33254394,dropout,0.33254394
Heart Failure With Mid-range Ejection Fraction.,studies,0.30135098,data,0.6349237,component-analysis,0.41327482
Heart Failure With Mid-range Ejection Fraction.,xxx,0.118691005,confusion-matrix,0.29613543,confusion-matrix,0.29613543
Heart Failure With Mid-range Ejection Fraction.,ef,0.32227567,function,0.46732792,learning-function,0.37073672
Heart Failure With Mid-range Ejection Fraction.,range,0.23189357,linear,0.4532097,gradient,0.36315575
Heart Failure With Mid-range Ejection Fraction.,patients,0.30007,recurrent,0.5332828,dropout,0.3918751
Heart Failure With Mid-range Ejection Fraction.,hfref,0.30238003,dropout,0.33754063,dropout,0.33754063
Heart Failure With Mid-range Ejection Fraction.,hfmref,0.30193725,tfidf,0.35980028,tfidf,0.35980028
Heart Failure With Mid-range Ejection Fraction.,hfpef,0.33180216,dropout,0.33254394,dropout,0.33254394
Heart Failure With Mid-range Ejection Fraction.,similar,0.29237732,of,0.56832373,long-short-term,0.4732089
Heart Failure With Mid-range Ejection Fraction.,significant,0.29367286,statistical,0.582669,statistical,0.582669
Heart Failure With Mid-range Ejection Fraction.,review,0.41215214,data,0.5581161,data-science,0.47600204
Heart Failure With Mid-range Ejection Fraction.,purpose,0.4149922,of,0.5072116,feature-engineering,0.43333688
Heart Failure With Mid-range Ejection Fraction.,prognosis,0.32841474,recurrent,0.50268024,classification,0.44778624
Heart Failure With Mid-range Ejection Fraction.,pathophysiology,0.33863446,feature,0.44530085,classification,0.3943317
Heart Failure With Mid-range Ejection Fraction.,needed,0.36127746,support,0.5796853,supervised,0.43152136
Heart Failure With Mid-range Ejection Fraction.,mid,0.23007318,bagging,0.4472025,bagging,0.4472025
Heart Failure With Mid-range Ejection Fraction.,management,0.38786528,decision,0.59816897,decision-tree,0.49756956
Heart Failure With Mid-range Ejection Fraction.,known,0.3344566,of,0.5873189,clustering,0.4164055
Heart Failure With Mid-range Ejection Fraction.,group,0.26103544,of,0.44356787,statistical,0.3923795
Heart Failure With Mid-range Ejection Fraction.,epidemiology,0.37457433,data-science,0.48592803,data-science,0.48592803
Heart Failure With Mid-range Ejection Fraction.,efs,0.24923551,short-term,0.39576766,long-short-term,0.36689356
Heart Failure With Mid-range Ejection Fraction.,describe,0.47142854,feature-engineering,0.5045319,feature-engineering,0.5045319
Heart Failure With Mid-range Ejection Fraction.,condition,0.23345311,confusion,0.47072208,confusion-matrix,0.4222471
Heart Failure With Mid-range Ejection Fraction.,cardiology,0.36460787,data-science,0.5008054,data-science,0.5008054
Heart Failure With Mid-range Ejection Fraction.,borderline,0.2588775,confusion,0.47102094,statistical,0.44439808
Heart Failure With Mid-range Ejection Fraction.,assigned,0.33371645,one,0.48061687,supervised,0.45563483
Heart Failure With Mid-range Ejection Fraction.,acc,0.26615047,of,0.4258749,recurrent-neural-network,0.41090712
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,determine,0.3371361,of,0.55401844,regression,0.40314794
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,consistent,0.2827828,of,0.55118144,clustering,0.43242198
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,pathways,0.30476987,cascade,0.6938149,feed-forward,0.5254793
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,introducing,0.46572757,feature-engineering,0.63279194,feature-engineering,0.63279194
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,predictive,0.55290145,cross-validation,0.6141345,cross-validation,0.6141345
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,medicine,0.41121995,science,0.6522808,data-science,0.6045255
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,new,0.43019778,of,0.526482,feature-reduction,0.4579819
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,statistical,0.6074636,statistical,1.0,statistical,1.0
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,nonlinear,0.54885405,stochastic,0.72081184,stochastic,0.72081184
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,models,0.53762007,model,0.8940372,markov-model,0.7015921
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,enabling,0.46592075,feature-engineering,0.6214503,feature-engineering,0.6214503
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,results,0.32376552,data,0.6932311,batch-normalization,0.44826904
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,simple,0.44104093,one-shot,0.5431666,one-shot,0.5431666
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,adequate,0.29751444,support,0.50622886,batch-normalization,0.4286505
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,diagnosis,0.32391536,classification,0.53521544,classification,0.53521544
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,approach,0.5412675,segmentation-algorithm,0.6046611,segmentation-algorithm,0.6046611
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,enabling,0.46592075,feature-engineering,0.6214503,feature-engineering,0.6214503
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,simple-adequate,0.41197506,natural-language,0.4965045,natural-language,0.4965045
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,obtain,0.38573402,of,0.51702356,batch-normalization,0.46553272
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,efficient,0.44278914,feature-engineering,0.5657042,feature-engineering,0.5657042
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,algorithm,0.7180419,algorithm,1.0,algorithm,1.0
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,classification,0.5994266,classification,1.0,classification,1.0
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,models,0.53762007,model,0.8940372,markov-model,0.7015921
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,femoral,0.23573844,augmentation,0.4722973,principal-components,0.3622526
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,pulse,0.30733106,few-shot,0.54626846,gradient,0.47678465
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,wave,0.30110258,fourier,0.49904785,fourier,0.49904785
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,velocity,0.26671168,gradient,0.5517495,gradient,0.5517495
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,femoral-pulse,0.3433392,few-shot,0.5309127,data-augmentation,0.49928448
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,pulse-wave,0.35420927,fourier,0.52744704,fourier,0.52744704
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,wave-velocity,0.30878156,fourier,0.5693445,fourier,0.5693445
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,pulse-wave-velocity,0.34844136,fourier,0.5911093,fourier,0.5911093
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,artificial,0.4622418,artificial,1.0,artificial-intelligence,0.6597898
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,neural,0.5080686,neural,1.0,neural-network,0.7153882
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,networks,0.53880787,network,0.91573685,neural-network,0.776492
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,artificial-neural,0.5541204,recurrent-neural-network,0.7487964,recurrent-neural-network,0.7487964
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,neural-networks,0.6930727,neural-network,0.983446,neural-network,0.983446
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,artificial-neural-networks,0.6783948,neural-network,0.9029462,neural-network,0.9029462
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,renal,0.24304676,of,0.44795883,batch-normalization,0.32135162
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,circulations,0.29020122,connected,0.46312892,gradient,0.419077
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,models,0.53762007,model,0.8940372,markov-model,0.7015921
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,measured,0.25103813,of,0.539739,batch-normalization,0.45439726
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,using,0.47332245,analysis,0.5968549,component-analysis,0.526608
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,carotid,0.21185519,augmentation,0.3569665,regression,0.33368263
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,mean,0.24598047,reduction,0.46440193,batch-normalization,0.434582
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,blood,0.16939776,normalization,0.4272251,batch-normalization,0.40715772
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,pressure,0.2060274,gradient,0.4962673,gradient,0.4962673
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,blood-pressure,0.2672683,batch-normalization,0.4510358,batch-normalization,0.4510358
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,mean-blood-pressure,0.36643043,batch-normalization,0.5844802,batch-normalization,0.5844802
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,pwv,0.28622276,backpropagation,0.36445284,backpropagation,0.36445284
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,index,0.27978244,function,0.407383,classification-algorithm,0.3994653
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,determinations,0.25224018,analysis,0.57278895,batch-normalization,0.5467147
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,individual,0.4013941,of,0.6520203,dimensionality-reduction,0.564764
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,pwv,0.28622276,backpropagation,0.36445284,backpropagation,0.36445284
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,index,0.27978244,function,0.407383,classification-algorithm,0.3994653
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,usual,0.28942436,supervised,0.48482984,supervised,0.48482984
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,clinical,0.44080526,data,0.48532635,data-science,0.45343333
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,practice,0.50552624,decision,0.59237766,data-science,0.5843962
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,clinical-practice,0.5274042,data-science,0.57205796,data-science,0.57205796
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,high,0.267004,of,0.57459104,gradient,0.44240427
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,cardiovascular,0.31674606,short-term,0.442761,learning-function,0.4027721
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,risk,0.35860935,recurrent,0.53675485,logistic-regression,0.52381086
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,high-cardiovascular,0.33360592,short-term,0.49153328,long-short-term,0.4760727
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,cardiovascular-risk,0.3523693,logistic-regression,0.46172044,logistic-regression,0.46172044
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,high-cardiovascular-risk,0.3754827,logistic-regression,0.4788453,logistic-regression,0.4788453
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,large,0.2849899,few,0.5687306,clustering,0.4101745
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,arteries,0.2030431,augmentation,0.39080167,segmentation,0.35854268
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,prediction,0.6361519,classification-algorithm,0.67946094,classification-algorithm,0.67946094
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,large-arteries,0.31295007,convolutional-layer,0.41428128,convolutional-layer,0.41428128
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,angiographic,0.30043295,ground-truth,0.43024242,ground-truth,0.43024242
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,chd,0.3007669,logistic-regression,0.39436275,logistic-regression,0.39436275
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,decisions,0.41949308,decision,0.89543855,decision-tree,0.6363974
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,pwv,0.28622276,backpropagation,0.36445284,backpropagation,0.36445284
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,particularly,0.32789055,of,0.62868786,long-short-term,0.49770588
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,present,0.39618495,of,0.63723874,generative,0.48216146
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,review,0.41215214,data,0.5581161,data-science,0.47600204
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,focuses,0.42775822,feature-engineering,0.5459945,feature-engineering,0.5459945
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,index,0.27978244,function,0.407383,classification-algorithm,0.3994653
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,involving,0.25723106,of,0.54600704,generative,0.40481192
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,age,0.30743492,intelligence,0.4774798,regression,0.47452933
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,coronary,0.25158757,of,0.3349695,segmentation-algorithm,0.31949025
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,heart,0.28300244,rate,0.49867767,batch-normalization,0.3427502
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,disease,0.296938,recurrent,0.4731025,classification,0.35271814
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,coronary-heart,0.24738656,long-short-term,0.33648896,long-short-term,0.33648896
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,heart-disease,0.35198575,long-short-term,0.43214932,long-short-term,0.43214932
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,coronary-heart-disease,0.3109823,long-short-term,0.40599877,long-short-term,0.40599877
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,pwv,0.28622276,backpropagation,0.36445284,backpropagation,0.36445284
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,index,0.27978244,function,0.407383,classification-algorithm,0.3994653
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,may,0.30907542,of,0.58654004,long-short-term,0.43985203
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,defined,0.3575971,of,0.529315,classification,0.50848204
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,chd,0.3007669,logistic-regression,0.39436275,logistic-regression,0.39436275
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,prediction,0.6361519,classification-algorithm,0.67946094,classification-algorithm,0.67946094
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,artificial,0.4622418,artificial,1.0,artificial-intelligence,0.6597898
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,intelligence,0.5350207,intelligence,0.99999994,artificial-intelligence,0.8106787
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,artificial-intelligence,0.64611053,artificial-intelligence,1.0,artificial-intelligence,1.0
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,coronary,0.25158757,of,0.3349695,segmentation-algorithm,0.31949025
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,prediction,0.6361519,classification-algorithm,0.67946094,classification-algorithm,0.67946094
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,particularly,0.32789055,of,0.62868786,long-short-term,0.49770588
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,relevant,0.4346258,of,0.5628227,natural-language,0.5076148
Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.,high,0.267004,of,0.57459104,gradient,0.44240427
