Index,Title
272,Muscle cyclo-oxygenase-2 pathway contributes to the exaggerated muscle mechanoreflex in rats with congestive heart failure.
273,Relaxin inhibits lipopolysaccharide-induced adhesion of neutrophils to coronary endothelial cells by a nitric oxide-mediated mechanism.
274,Aspirin intolerance and the need for dual antiplatelet therapy after stent implantation: a proposed alternative regimen.
275,Physicochemical and biological properties of novel amide-based steroidal inhibitors of NMDA receptors.
276,Pulse Wave Analysis after Treatment of Abdominal Aortic Aneurysms with the Ovation Device.
277,"Alterations in the Notch4 pathway in cerebral endothelial cells by the HIV aspartyl protease inhibitor, nelfinavir."
278,Antibody directs properdin-dependent activation of the complement alternative pathway in a mouse model of abdominal aortic aneurysm.
279,"5-Imino-1,2-4-thiadiazoles and quinazolines derivatives as glycogen synthase kinase 3β (GSK-3β) and phosphodiesterase 7 (PDE7) inhibitors: determination of blood-brain barrier penetration and binding to human serum albumin."
280,The effect of poloxamer 407 on the functional properties of HDL in mice.
281,Localizing calcifications in cardiac CT data sets using a new vessel segmentation approach.
282,A Kir3.4 mutation causes Andersen-Tawil syndrome by an inhibitory effect on Kir2.1.
283,"In vivo antimuscarinic actions of the third generation antihistaminergic agent, desloratadine."
284,Gender does not influence event-free survival in patients with ischaemic heart disease undergoing non-emergency coronary angiography. A single centre analysis.
285,Poor functional status as a risk factor for severe Clostridium difficile infection in hospitalized older adults.
286,Platelet glycoprotein IIb/IIIa inhibition with coronary stenting for acute myocardial infarction.
287,NADPH oxidase mediates striatal neuronal injury after transient global cerebral ischemia.
288,Chronic inhibition of fatty acid amide hydrolase by URB597 produces differential effects on cardiac performance in normotensive and hypertensive rats.
289,Automated segmentation and quantification of aortic calcification at abdominal CT: application of a deep learning-based algorithm to a longitudinal screening cohort.
290,Compounds blocking methylglyoxal-induced protein modification and brain endothelial injury.
291,Potent vasorelaxant activity of the TMEM16A inhibitor T16A(inh) -A01.
292,Low free testosterone in HIV-infected men is not associated with subclinical cardiovascular disease.
293,Chronic PARP-1 inhibition reduces carotid vessel remodeling and oxidative damage of the dorsal hippocampus in spontaneously hypertensive rats.
294,Protective effects of NHE1 inhibition with sabiporide in an experimental model of asphyxia-induced cardiac arrest in piglets.
295,Key role of myosin light chain (MLC) kinase-mediated MLC2a phosphorylation in the alpha 1-adrenergic positive inotropic effect in human atrium.
296,Effect of the direct renin inhibitor aliskiren on left ventricular remodelling following myocardial infarction with systolic dysfunction.
297,Peroxisome proliferator-activated receptor beta/delta activation improves angiotensin II-induced cardiac hypertrophy in vitro.
298,Inhibition of mTORC1 renders cardiac protection against lipopolysaccharide.
